sample	group	PD_whole_tree	chao1	goods_coverage	observed_otus	shannon	simpson
HA1	Genetic 2	16.652	268.574	0.991	229.737	6.408	0.981
HA2	Genetic 2	18.383	285.586	0.988	241.332	4.792	0.847
HA5	Genetic 2	19.119	297.397	0.988	245.219	5.323	0.929
HA7	Genetic 2	14.607	228.192	0.989	170.831	4.081	0.846
HA8	Genetic 2	14.372	217.494	0.988	162.311	3.451	0.781
HL1	Genetic 1	11.425	175.232	0.993	142.612	4.34	0.875
HL2	Genetic 1	22.372	363.132	0.989	329.003	6.626	0.973
HL4	Genetic 1	16.857	295.761	0.986	235.782	4.98	0.908
HL5	Genetic 1	18.353	296.672	0.985	231.654	4.331	0.862
HL7	Genetic 1	18.648	302.679	0.987	246.009	4.929	0.9
