taxa	organ	pond	value
Brevibacterium casei	Gut	Pond 1 (G1)	0.000156395
Propionibacterium acnes	Gut	Pond 1 (G1)	0.000396203
Annamia toxica	Gut	Pond 1 (G1)	0.003239792
Arthrospira platensis	Gut	Pond 1 (G1)	0.000176233
Lyngbya hieronymusii	Gut	Pond 1 (G1)	4.71507E-05
Halobacillus naozhouensis	Gut	Pond 1 (G1)	0.000105922
Clostridium perfringens	Gut	Pond 1 (G1)	0.011130269
Ruegeria scottomollicae	Gut	Pond 1 (G1)	0.000322724
Erythrobacter nanhaisediminis	Gut	Pond 1 (G1)	0.00042646
Massilia aerolata	Gut	Pond 1 (G1)	0.000879025
Desulfovibrio alaskensis	Gut	Pond 1 (G1)	0.010974401
Shewanella algae	Gut	Pond 1 (G1)	0.0003909
Enterobacter cloacae	Gut	Pond 1 (G1)	0.000311152
Morganella morganii	Gut	Pond 1 (G1)	0.000262406
Serratia rubidaea	Gut	Pond 1 (G1)	0.00014789
Serratia symbiotica	Gut	Pond 1 (G1)	0.000262861
Pseudoalteromonas luteoviolacea	Gut	Pond 1 (G1)	0.0128747
Pseudoalteromonas porphyrae	Gut	Pond 1 (G1)	0.000229016
Vibrio diazotrophicus	Gut	Pond 1 (G1)	0.001442487
Vibrio harveyi	Gut	Pond 1 (G1)	0.009257214
Enterovibrio coralii	Gut	Pond 1 (G1)	0.000601979
Grimontia hollisae	Gut	Pond 1 (G1)	0.000496473
Photobacterium damselae	Gut	Pond 1 (G1)	0.008758997
Vibrio aestuarianus	Gut	Pond 1 (G1)	0.000219944
Vibrio fortis	Gut	Pond 1 (G1)	0.000295142
Vibrio halioticoli	Gut	Pond 1 (G1)	0.000204932
Vibrio neonatus	Gut	Pond 1 (G1)	0.000250759
Vibrio shilonii	Gut	Pond 1 (G1)	0.00932752
Vibrio tapetis	Gut	Pond 1 (G1)	0.002317664
Brevibacterium casei	Gut	Pond 2 (G1)	0.000237128
Propionibacterium acnes	Gut	Pond 2 (G1)	3.0872E-05
Annamia toxica	Gut	Pond 2 (G1)	0.000818859
Arthrospira platensis	Gut	Pond 2 (G1)	0.000304388
Lyngbya hieronymusii	Gut	Pond 2 (G1)	6.12896E-05
Halobacillus naozhouensis	Gut	Pond 2 (G1)	1.04499E-05
Clostridium perfringens	Gut	Pond 2 (G1)	5.14786E-05
Ruegeria scottomollicae	Gut	Pond 2 (G1)	4.16763E-05
Erythrobacter nanhaisediminis	Gut	Pond 2 (G1)	0.000150169
Massilia aerolata	Gut	Pond 2 (G1)	1.31911E-05
Desulfovibrio alaskensis	Gut	Pond 2 (G1)	2.55964E-05
Shewanella algae	Gut	Pond 2 (G1)	0.000278568
Enterobacter cloacae	Gut	Pond 2 (G1)	0.000564651
Morganella morganii	Gut	Pond 2 (G1)	0.000317589
Serratia rubidaea	Gut	Pond 2 (G1)	0.000103932
Serratia symbiotica	Gut	Pond 2 (G1)	0.000259917
Pseudoalteromonas luteoviolacea	Gut	Pond 2 (G1)	0.011811748
Pseudoalteromonas porphyrae	Gut	Pond 2 (G1)	0.000370343
Vibrio diazotrophicus	Gut	Pond 2 (G1)	0.00118541
Vibrio harveyi	Gut	Pond 2 (G1)	0.058094289
Enterovibrio coralii	Gut	Pond 2 (G1)	0.000147739
Grimontia hollisae	Gut	Pond 2 (G1)	0.000417461
Photobacterium damselae	Gut	Pond 2 (G1)	0.04152844
Vibrio aestuarianus	Gut	Pond 2 (G1)	0.000226717
Vibrio fortis	Gut	Pond 2 (G1)	0.000733417
Vibrio halioticoli	Gut	Pond 2 (G1)	0.000216887
Vibrio neonatus	Gut	Pond 2 (G1)	0.000299125
Vibrio shilonii	Gut	Pond 2 (G1)	0.022437646
Vibrio tapetis	Gut	Pond 2 (G1)	0.014398697
Brevibacterium casei	Gut	Pond 3 (G2)	6.8655E-05
Propionibacterium acnes	Gut	Pond 3 (G2)	4.01059E-05
Annamia toxica	Gut	Pond 3 (G2)	6.12707E-05
Arthrospira platensis	Gut	Pond 3 (G2)	0.001959078
Lyngbya hieronymusii	Gut	Pond 3 (G2)	0.000517349
Halobacillus naozhouensis	Gut	Pond 3 (G2)	3.28702E-05
Clostridium perfringens	Gut	Pond 3 (G2)	0.000953327
Ruegeria scottomollicae	Gut	Pond 3 (G2)	5.33772E-06
Erythrobacter nanhaisediminis	Gut	Pond 3 (G2)	0.000138571
Massilia aerolata	Gut	Pond 3 (G2)	9.95459E-06
Desulfovibrio alaskensis	Gut	Pond 3 (G2)	0.000245005
Shewanella algae	Gut	Pond 3 (G2)	9.36538E-05
Enterobacter cloacae	Gut	Pond 3 (G2)	7.31666E-05
Morganella morganii	Gut	Pond 3 (G2)	5.19254E-05
Serratia rubidaea	Gut	Pond 3 (G2)	0.000117178
Serratia symbiotica	Gut	Pond 3 (G2)	0.000136533
Pseudoalteromonas luteoviolacea	Gut	Pond 3 (G2)	0.003803753
Pseudoalteromonas porphyrae	Gut	Pond 3 (G2)	0.00017598
Vibrio diazotrophicus	Gut	Pond 3 (G2)	0.001420349
Vibrio harveyi	Gut	Pond 3 (G2)	0.022757675
Enterovibrio coralii	Gut	Pond 3 (G2)	0.000197074
Grimontia hollisae	Gut	Pond 3 (G2)	0.000399509
Photobacterium damselae	Gut	Pond 3 (G2)	0.014199519
Vibrio aestuarianus	Gut	Pond 3 (G2)	5.32413E-05
Vibrio fortis	Gut	Pond 3 (G2)	0.000136635
Vibrio halioticoli	Gut	Pond 3 (G2)	6.54071E-05
Vibrio neonatus	Gut	Pond 3 (G2)	3.09619E-05
Vibrio shilonii	Gut	Pond 3 (G2)	0.006489628
Vibrio tapetis	Gut	Pond 3 (G2)	0.001050529
Brevibacterium casei	Hepatopancreas	Pond 1 (G1)	0.000392601
Propionibacterium acnes	Hepatopancreas	Pond 1 (G1)	0.001783123
Annamia toxica	Hepatopancreas	Pond 1 (G1)	0.000107502
Arthrospira platensis	Hepatopancreas	Pond 1 (G1)	0.000119123
Lyngbya hieronymusii	Hepatopancreas	Pond 1 (G1)	5.67801E-05
