SampleID	Genetic	Pond	Organ
HA1	Genetic 2	Pond C	Hepatopancreas
HA2	Genetic 2	Pond C	Hepatopancreas
HA5	Genetic 2	Pond C	Hepatopancreas
HA7	Genetic 2	Pond C	Hepatopancreas
HA8	Genetic 2	Pond C	Hepatopancreas
HE1	Genetic 1	Pond B	Hepatopancreas
HE2	Genetic 1	Pond B	Hepatopancreas
HE4	Genetic 1	Pond B	Hepatopancreas
HE5	Genetic 1	Pond B	Hepatopancreas
HE7	Genetic 1	Pond B	Hepatopancreas
HE8	Genetic 1	Pond B	Hepatopancreas
IA2	Genetic 2	Pond C	Gut
IA3	Genetic 2	Pond C	Gut
IA4	Genetic 2	Pond C	Gut
IA5	Genetic 2	Pond C	Gut
IA7	Genetic 2	Pond C	Gut
IA8	Genetic 2	Pond C	Gut
IA9	Genetic 2	Pond C	Gut
IE2	Genetic 1	Pond B	Gut
IE3	Genetic 1	Pond B	Gut
IE5	Genetic 1	Pond B	Gut
IE7	Genetic 1	Pond B	Gut
IE8	Genetic 1	Pond B	Gut
IE9	Genetic 1	Pond B	Gut
