sample	group	relab_gut_genus	log10_gut_genus
sample1	Gen1	0.009188773	-2.036742469
sample2	Gen1	0	NA
sample3	Gen1	4.26276E-05	-4.370309454
sample4	Gen1	0.044057028	-1.355984805
sample5	Gen1	0.000182243	-3.739350217
sample6	Gen1	3.65781E-05	-4.436778602
sample7	Gen1	0.085802224	-1.066501455
sample8	Gen1	0	NA
sample9	Gen1	0.00021065	-3.676438393
sample10	Gen1	0.000993215	-3.002956596
sample11	Gen1	2.72487E-05	-4.564654230
sample12	Gen1	0.000190327	-3.720500094
sample13	Gen1	4.65934E-05	-4.331675304
sample14	Gen1	0.000101555	-3.993300568
sample15	Gen1	0.002533127	-2.596343106
sample16	Gen1	0	NA
sample17	Gen1	3.14288E-05	-4.502672878
sample18	Gen1	8.8098E-05	-4.055034124
sample19	Gen1	5.40833E-05	-4.266936911
sample20	Gen1	0.003351622	-2.474744930
sample21	Gen1	0.000318042	-3.497515216
sample22	Gen1	1.72334E-05	-4.763629310
sample23	Gen1	0.008420587	-2.074657653
sample24	Gen1	0.000107937	-3.966827912
sample25	Gen1	0.000304459	-3.516470596
sample26	Gen1	0.000638123	-3.195095541
sample27	Gen1	8.43645E-05	-4.073840262
sample28	Gen1	0.000144865	-3.839037273
sample29	Gen1	0.000494432	-3.305893365
sample30	Gen1	2.72487E-05	-4.564654230
sample31	Gen1	0.000101555	-3.993300568
sample32	Gen1	0.00012816	-3.892247476
sample33	Gen1	0.15765739	-0.802285668
sample34	Gen1	0.007155335	-2.145370008
sample35	Gen1	3.64317E-05	-4.438520738
sample36	Gen1	0	NA
sample37	Gen1	0.012930845	-1.888373110
sample38	Gen1	0.004043163	-2.393278700
sample39	Gen1	0.000412083	-3.385015575
sample40	Gen1	0.000895507	-3.047930927
sample41	Gen1	5.209943547	0.716833017
sample42	Gen1	5.23163E-05	-4.281363337
sample43	Gen2	0.001550559	-2.809511646
sample44	Gen2	0.000002671	-5.573377597
sample45	Gen2	0.000000000	NA
sample46	Gen2	0.007413557	-2.129973376
sample47	Gen2	0.000157599	-3.802445235
sample48	Gen2	0.000055303	-4.257255104
sample49	Gen2	0.007551849	-2.121946710
sample50	Gen2	2.42596E-05	-4.615115830
sample51	Gen2	0.000026930	-4.569758596
sample52	Gen2	0.000007077	-5.150157529
sample53	Gen2	0.000000000	NA
sample54	Gen2	0.000000000	NA
sample55	Gen2	0	NA
sample56	Gen2	0	NA
sample57	Gen2	1.21246E-05	-4.916331729
sample58	Gen2	2.67068E-06	-5.573377597
sample59	Gen2	1.40064E-05	-4.853673881
sample60	Gen2	2.15889E-05	-4.665768551
sample61	Gen2	0	NA
sample62	Gen2	8.01205E-06	-5.096256342
sample63	Gen2	0.000246972	-3.607351543
sample64	Gen2	0	NA
sample65	Gen2	0.001977973	-2.703779544
sample66	Gen2	5.34137E-06	-5.272347601
sample67	Gen2	0	NA
sample68	Gen2	0	NA
sample69	Gen2	0	NA
sample70	Gen2	0	NA
sample71	Gen2	1.92015E-05	-4.716664522
sample72	Gen2	0	NA
sample73	Gen2	0	NA
sample74	Gen2	3.66779E-05	-4.435595692
sample75	Gen2	0.038225159	-1.417650702
sample76	Gen2	0.002089944	-2.679865402
sample77	Gen2	0	NA
sample78	Gen2	9.45394E-06	-5.024387140
sample79	Gen2	0.002591489	-2.586450712
sample80	Gen2	0.000159492	-3.797262131
sample81	Gen2	1.24183E-05	-4.905939351
sample82	Gen2	0.000330665	-3.480611829
sample83	Gen2	2.178877449	0.338232804
sample84	Gen2	0.000107945	-3.966798546
