sample	group	relab_gut_genus	log10_gut_genus
sample1	Healthy	0.000011411	-4.942664376
sample2	Healthy	0.004231694	-2.373485737
sample3	Healthy	0.000007608	-5.118755635
sample4	Healthy	0.012358452	-1.908035919
sample5	Healthy	1.90189E-05	-4.720815626
sample6	Healthy	8.9662E-05	-4.047391702
sample7	Healthy	7.60754E-06	-5.118755635
sample8	Healthy	3.80377E-06	-5.41978563
sample9	Healthy	0.000226598	-3.64474444
sample10	Healthy	3.04302E-05	-4.516695643
sample11	Healthy	2.28226E-05	-4.64163438
sample12	Healthy	3.80377E-06	-5.41978563
sample13	Healthy	0	NA
sample14	Healthy	8.9662E-05	-4.047391702
sample15	Healthy	0	NA
sample16	Healthy	0.038387394	-1.415811369
sample17	Healthy	0.00011937	-3.923104498
sample18	Healthy	0	NA
sample19	Healthy	3.80377E-06	-5.41978563
sample20	Healthy	0.000115566	-3.93716874
sample21	Healthy	0.00024707	-3.60718039
sample22	Healthy	0.000161212	-3.792603803
sample23	Healthy	1.601248473	0.204458729
sample24	Healthy	3.80377E-06	-5.41978563
sample25	Disease	0	NA
sample26	Disease	0.001874919	-2.727017408
sample27	Disease	0.000401355	-3.396470873
sample28	Disease	0.000203822	-3.690749365
sample29	Disease	0	NA
sample30	Disease	0	NA
sample31	Disease	0	NA
sample32	Disease	0	NA
sample33	Disease	0	NA
sample34	Disease	6.12866E-05	-4.212634399
sample35	Disease	2.04289E-05	-4.689755654
sample36	Disease	0	NA
sample37	Disease	2.09503E-05	-4.678809632
sample38	Disease	0	NA
sample39	Disease	2.09503E-05	-4.678809632
sample40	Disease	0.013908266	-1.856727026
sample41	Disease	0.000145088	-3.838369004
sample42	Disease	4.19006E-05	-4.377779636
sample43	Disease	6.96605E-05	-4.157013157
sample44	Disease	0.000116806	-3.932533105
sample45	Disease	0.000158707	-3.799403697
sample46	Disease	0.000436913	-3.359604732
sample47	Disease	0.879731276	-0.055649968
sample48	Disease	0	NA
