sample	group	variable	value	order
IA2	Gen 2	p_Actinobacteria	-2.629865856	1
IA2	Gen 2	p_Bacteroidetes	-2.969803777	7
IA2	Gen 2	c_Actinobacteria	-2.760966686	3
IA2	Gen 2	c_Spartobacteria	-5	6
IA2	Gen 2	c_Flavobacteriia	-3.427476902	13
IA2	Gen 2	c_Cytophagia	-3.238544281	12
IA2	Gen 2	c_Deltaproteobacteria	-3.850990385	10
IA2	Gen 2	c_Bacteroidia	-2.805032175	14
IA2	Gen 2	o_Bacteroidales	-3.850990385	18
IA2	Gen 2	o_Flavobacteriales	-3.427476902	29
IA2	Gen 2	o_Actinomycetales	-2.760966686	2
IA2	Gen 2	o_Marinicellales	-2.975737694	9
IA2	Gen 2	o_Aeromonadales	-3.297025213	36
IA2	Gen 2	o_Kiloniellales	-4.49757288	40
IA2	Gen 2	o_Sphingomonadales	-3.924051775	17
IA2	Gen 2	o_Chthoniobacterales	-5	31
IA2	Gen 2	o_Alteromonadales	-2.717652778	11
IA2	Gen 2	o_Cytophagales	-3.238544281	25
IA2	Gen 2	o_Planctomycetales	-4.215382707	24
IA2	Gen 2	o_Caulobacterales	-5	27
IA2	Gen 2	f_Shewanellaceae	-3.700876392	34
IA2	Gen 2	f_Flavobacteriaceae	-3.427476902	32
IA2	Gen 2	f_Erythrobacteraceae	-3.924051775	23
IA2	Gen 2	f_Flammeovirgaceae	-3.670252385	38
IA2	Gen 2	f_Microbacteriaceae	-2.904280194	5
IA2	Gen 2	f_OM60	-3.023033183	16
IA2	Gen 2	f_Chthoniobacteraceae	-5	43
IA2	Gen 2	f_Planctomycetaceae	-4.215382707	26
IA2	Gen 2	f_Caulobacteraceae	-5	30
IA2	Gen 2	f_Colwelliaceae	-3.589533208	19
IA2	Gen 2	f_Corynebacteriaceae	-4.610833916	20
IA2	Gen 2	f_Marinicellaceae	-2.975737694	8
IA2	Gen 2	g_Enterobacter	-4.045757491	22
IA2	Gen 2	g_Ruegeria	-4.166215625	42
IA2	Gen 2	g_Loktanella	-4.333482019	35
IA2	Gen 2	g_Propionibacterium	-5	41
IA2	Gen 2	g_Planctomyces	-4.215382707	28
IA2	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA2	Gen 2	g_Shewanella	-3.700876392	33
IA2	Gen 2	g_Congregibacter	-3.453607885	39
IA2	Gen 2	g_Marivita	-4.407823243	37
IA2	Gen 2	g_Corynebacterium	-4.610833916	21
IA2	Gen 2	g_Erythrobacter	-3.924051775	15
IA2	Gen 2	s_Propionibacterium acnes	-5	4
IA2	Gen 2	o_Rhodophyta	-4.215382707	49
IA2	Gen 2	o_Oscillatoriales	-0.763526651	46
IA2	Gen 2	o_Nostocales	-2.930391095	55
IA2	Gen 2	f_Nostocaceae	-3.095356933	56
IA2	Gen 2	f_Phormidiaceae	-0.763526651	45
IA2	Gen 2	g_Phormidium	-3.177400457	50
IA2	Gen 2	g_Lyngbya	-3.040016591	51
IA2	Gen 2	g_Arthrospira	-2.453942858	54
IA2	Gen 2	g_Cylindrospermopsis	-3.095356933	57
IA2	Gen 2	g_Planktothricoides	-3.068651988	53
IA2	Gen 2	g_Hydrocoleum	-3.329511084	52
IA2	Gen 2	s_Lyngbya hieronymusii	-3.040016773	48
IA2	Gen 2	s_Arthrospira platensis	-2.453942918	47
IA3	Gen 2	p_Actinobacteria	-2.388771351	1
IA3	Gen 2	p_Bacteroidetes	-2.785119697	7
IA3	Gen 2	c_Actinobacteria	-2.83824879	3
IA3	Gen 2	c_Spartobacteria	-5	6
IA3	Gen 2	c_Flavobacteriia	-3.139260831	13
IA3	Gen 2	c_Cytophagia	-3.278294057	12
IA3	Gen 2	c_Deltaproteobacteria	-3.389771152	10
IA3	Gen 2	c_Bacteroidia	-2.91269323	14
IA3	Gen 2	o_Bacteroidales	-3.389771152	18
IA3	Gen 2	o_Flavobacteriales	-3.139260831	29
IA3	Gen 2	o_Actinomycetales	-2.83824879	2
IA3	Gen 2	o_Marinicellales	-2.83824879	9
IA3	Gen 2	o_Aeromonadales	-3.525410811	36
IA3	Gen 2	o_Kiloniellales	-4.224025669	40
IA3	Gen 2	o_Sphingomonadales	-4.099086932	17
IA3	Gen 2	o_Chthoniobacterales	-5	31
IA3	Gen 2	o_Alteromonadales	-2.631540548	11
IA3	Gen 2	o_Cytophagales	-3.278294057	25
IA3	Gen 2	o_Planctomycetales	-3.471062742	24
IA3	Gen 2	o_Caulobacterales	-3.888475375	27
IA3	Gen 2	f_Shewanellaceae	-3.723726661	34
IA3	Gen 2	f_Flavobacteriaceae	-3.139260831	32
IA3	Gen 2	f_Erythrobacteraceae	-4.099086932	23
IA3	Gen 2	f_Flammeovirgaceae	-3.411487397	38
IA3	Gen 2	f_Microbacteriaceae	-3.073169504	5
IA3	Gen 2	f_OM60	-2.859585928	16
IA3	Gen 2	f_Chthoniobacteraceae	-5	43
IA3	Gen 2	f_Planctomycetaceae	-3.471062742	26
IA3	Gen 2	f_Caulobacteraceae	-3.888475375	30
IA3	Gen 2	f_Colwelliaceae	-3.85630461	19
IA3	Gen 2	f_Corynebacteriaceae	-4.700274846	20
IA3	Gen 2	f_Marinicellaceae	-2.83824879	8
IA3	Gen 2	g_Enterobacter	-4.400116928	22
IA3	Gen 2	g_Ruegeria	-4.048176965	42
IA3	Gen 2	g_Loktanella	-4.302770657	35
IA3	Gen 2	g_Propionibacterium	-5	41
IA3	Gen 2	g_Planctomyces	-3.471062742	28
IA3	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA3	Gen 2	g_Shewanella	-3.723726661	33
IA3	Gen 2	g_Congregibacter	-3.246698903	39
IA3	Gen 2	g_Marivita	-3.888475375	37
IA3	Gen 2	g_Corynebacterium	-4.700274846	21
IA3	Gen 2	g_Erythrobacter	-4.099086932	15
IA3	Gen 2	s_Propionibacterium acnes	-5	4
IA3	Gen 2	o_Rhodophyta	-4.224025669	49
IA3	Gen 2	o_Oscillatoriales	-1.50916067	46
IA3	Gen 2	o_Nostocales	-3.434346949	55
