gut_taxa	order	group	lda	P-value	gut_genetic1	gut_genetic2	gut_genetic1_log10	gut_genetic2_log10	Pond	IA2	IA3	IA4	IA5	IA7	IA8	IA9	IL1	IL2	IL3	IL4	IL6	IL8
p_Actinobacteria	1	Genetic 1	4.369557198	0.006641885	0.282803919	0.037523413	-0.54849922	-1.425581939	Actinobacteria	0.002334953	0.004075344	0.013007674	0.004081514	0.004002756	0.001607937	0.008413236	0.027965377	0.019246689	0.067884131	0.006006153	0.032050128	0.129651442
o_Actinomycetales	2	Genetic 1	4.235007876	0.006641885	0.213410388	0.02059066	-0.670764095	-1.686118866	Actinomycetales	0.001723937	0.00144128	0.009077297	0.003760823	0.00236692	0.000786863	0.00143354	0.027334901	0.013451987	0.030730479	0.003401859	0.011631676	0.126859486
c_Actinobacteria	3	Genetic 1	4.233883536	0.006641885	0.213410388	0.02059066	-0.670764095	-1.686118866	Actinobacteria	0.001723937	0.00144128	0.009077297	0.003760823	0.00236692	0.000786863	0.00143354	0.027334901	0.013451987	0.030730479	0.003401859	0.011631676	0.126859486
s_Propionibacterium acnes	4	Genetic 1	4.227745594	0.006835571	0.002377216	0.000280741	-2.622108253	-3.536493486	Propionibacterium acnes	0	0	0.000280741	0	0	0	0	0.000170977	0.000413907	0.000125945	1.63E-05	3.60E-05	0.001614099
f_Microbacteriaceae	5	Genetic 1	4.171079816	0.006641885	0.183138291	0.016461475	-0.737197129	-1.783267509	Microbacteriaceae	0.001236579	0.000834949	0.007580011	0.003323518	0.0020588	0.000581594	0.000846024	0.02528318	0.010761589	0.022670025	0.002750785	0.009470993	0.112201719
c_Spartobacteria	6	Genetic 1	4.166767898	0.001108855	0.003068091	0	-2.511718545	-5	Spartobacteria	0	0	0	0	0	0	0	3.21E-05	0.000206954	0.001133501	1.63E-05	0.000414131	0.001265105
p_Bacteroidetes	7	Genetic 1	4.042563488	0.022270979	0.061551547	0.010573608	-1.210690472	-1.975366248	Bacteroidetes	0.001062004	0.001630138	0.001871608	0.000174922	0.00236692	0.00071844	0.002749577	0.000993802	0.02214404	0.023173804	0.005745723	0.00626598	0.003228199
f_Marinicellaceae	8	Genetic 1	3.875924245	0.045500264	0.106404808	0.010954882	-0.972997934	-1.959996038	Marinicellaceae	0.001047456	0.00144128	0.001310125	0.000218653	0.001882332	0.000307903	0.004747133	0.000341953	0.009726821	0.025188917	0.054266973	0.015178796	0.001701348
o_Marinicellales	9	Genetic 1	3.874316136	0.045500264	0.106404808	0.010954882	-0.972997934	-1.959996038	Marinicellales	0.001047456	0.00144128	0.001310125	0.000218653	0.001882332	0.000307903	0.004747133	0.000341953	0.009726821	0.025188917	0.054266973	0.015178796	0.001701348
c_Deltaproteobacteria	10	Genetic 1	3.8735411	0.022270979	0.027381023	0.002873328	-1.562391747	-2.540105951	Bacteroidia	0.000130932	0.000397595	0.000187161	2.92E-05	0.000955171	0.000444749	0.00072852	0.000737337	0.011589404	0.012468514	0.000227876	0.00091829	0.001439602
o_Alteromonadales	11	Genetic 1	3.692786119	0.022270979	0.068834651	0.013927878	-1.162129797	-1.855803341	Alteromonadales	0.001905787	0.002325928	0.002713831	0.001413953	0.002252076	0.000684229	0.002632074	0.00153879	0.017384106	0.02720403	0.005827107	0.013216176	0.003664442
c_Cytophagia	12	Genetic 1	3.572502135	0.045500264	0.020189874	0.00464342	-1.69465134	-2.332227748	Cytophagia	0.000567372	0.000516873	0.001403706	7.29E-05	0.000960774	0.000205269	0.000916526	9.62E-05	0.008485099	0.004156171	0.003987825	0.002286723	0.001177856
c_Flavobacteriia	13	Genetic 1	3.570972973	0.045500264	0.013980675	0.003056917	-1.854161332	-2.513297977	Flavobacteriia	0.0003637	0.00071567	0.000280741	7.29E-05	0.000450975	6.84E-05	0.001104531	0.000160291	0.002069536	0.006549118	0.001530023	0.003060967	0.00061074
c_Bacteroidia	14	Genetic 1	3.500766137	0.032124571	0.102312181	0.020935875	-0.990030211	-1.678901493	Deltaproteobacteria	0.001556635	0.001212663	0.006082725	0.00170549	4.92E-03	0.001300034	0.004159616	0.005407138	0.039528146	0.015365239	0.001871836	0.005545752	0.03459407
g_Erythrobacter	15	Genetic 1	3.486649012	0.032124571	0.002558755	0.000970005	-2.590277315	-3.008771709	Erythrobacter	0.00010911	6.96E-05	9.36E-05	5.83E-05	0.000218485	6.84E-05	3.53E-04	7.48E-05	0.000413907	0.000503778	0.000895226	0.000540171	0.000130873
f_OM60	16	Genetic 1	3.4800477	0.022270979	0.040554272	0.007735691	-1.391856314	-2.110939832	OM60	0.000938346	0.001371701	0.001216545	0.000349844	0.001677852	0.000136846	0.002044557	0.000737337	0.00455298	0.019395466	0.003694842	0.009687061	0.002486586
o_Sphingomonadales	17	Genetic 1	3.396315091	0.032124571	0.002558755	0.000970005	-2.590277315	-3.008771709	Sphingomonadales	0.00010911	6.96E-05	9.36E-05	5.83E-05	0.000218485	6.84E-05	0.00035251	7.48E-05	0.000413907	0.000503778	0.000895226	0.000540171	0.000130873
o_Bacteroidales	18	Genetic 1	3.352542317	0.032124571	0.027381023	0.002873328	-1.562391747	-2.540105951	Bacteroidales	0.000130932	0.000397595	0.000187161	2.92E-05	0.000955171	0.000444749	0.00072852	0.000737337	0.011589404	0.012468514	0.000227876	0.00091829	0.001439602
f_Colwelliaceae	19	Genetic 1	3.258766758	0.015158439	0.012672005	0.000914509	-1.89681208	-3.034088857	Colwelliaceae	0.000247316	0.000129218	0.000280741	5.83E-05	7.28E-05	0.000102634	2.35E-05	0.000149605	0.007864238	0.001763224	0.001269593	0.001494472	0.000130873
f_Corynebacteriaceae	20	Genetic 1	3.253470938	0.010127991	0.001457793	0.00023174	-2.833335188	-3.616651482	Corynebacteriaceae	1.45E-05	9.94E-06	9.36E-05	2.92E-05	1.40E-05	0.00E+00	7.05E-05	7.48E-05	0.000413907	6.30E-04	9.77E-05	1.98E-04	4.36E-05
g_Corynebacterium	21	Genetic 1	3.233766402	0.010127991	0.001457793	0.00023174	-2.833335188	-3.616651482	Corynebacterium	1.45E-05	9.94E-06	9.36E-05	2.92E-05	1.40E-05	0	7.05E-05	7.48E-05	0.000413907	0.000629723	9.77E-05	0.000198063	4.36E-05
g_Enterobacter	22	Genetic 1	3.213043879	0.045500264	0.001866881	0.000512152	-2.726563262	-3.282203054	Enterobacter	8.00E-05	2.98E-05	9.36E-05	0.000131192	0.00015406	0	2.35E-05	0.000149605	0.000620861	0.000125945	4.88E-05	0.000180057	0.000741613
f_Erythrobacteraceae	23	Genetic 1	3.200876651	0.032124571	0.002558755	0.000970005	-2.590277315	-3.008771709	Erythrobacteraceae	0.00010911	6.96E-05	9.36E-05	5.83E-05	0.000218485	6.84E-05	0.00035251	7.48E-05	0.000413907	0.000503778	0.000895226	0.000540171	0.000130873
o_Planctomycetales	24	Genetic 1	3.178897506	0.032124571	0.016579363	0.002051748	-1.78017029	-2.685764418	Planctomycetales	5.09E-05	0.000328016	0.000374322	4.37E-05	0.000210082	3.42E-05	0.001010528	5.34E-05	0.001655629	0.009949622	0.000439475	0.003565127	0.00091611
o_Cytophagales	25	Genetic 1	3.168100447	0.045500264	0.020189874	0.00464342	-1.69465134	-2.332227748	Cytophagales	0.000567372	0.000516873	0.001403706	7.29E-05	0.000960774	0.000205269	0.000916526	9.62E-05	0.008485099	0.004156171	0.003987825	0.002286723	0.001177856
f_Planctomycetaceae	26	Genetic 1	3.16617556	0.032124571	0.016579363	0.002051748	-1.78017029	-2.685764418	Planctomycetaceae	5.09E-05	0.000328016	0.000374322	4.37E-05	0.000210082	3.42E-05	0.001010528	5.34E-05	0.001655629	0.009949622	0.000439475	0.003565127	0.00091611
o_Caulobacterales	27	Genetic 1	3.159279103	0.018711927	0.005173562	0.000471788	-2.285371703	-3.317144021	Caulobacterales	0	0.000119278	0	0	0	0	0.00035251	2.14E-05	0.000206954	0.002141058	1.63E-05	0.000432137	0.002355713
g_Planctomyces	28	Genetic 1	3.124372622	0.032124571	0.016579363	0.002051748	-1.78017029	-2.685764418	Planctomyces	5.09E-05	0.000328016	0.000374322	4.37E-05	0.000210082	3.42E-05	1.01E-03	5.34E-05	0.001655629	0.009949622	0.000439475	0.003565127	0.00091611
o_Flavobacteriales	29	Genetic 1	3.11944122	0.045500264	0.013980675	0.003056917	-1.854161332	-2.513297977	Flavobacteriales	0.0003637	0.00071567	0.000280741	7.29E-05	0.000450975	6.84E-05	0.001104531	0.000160291	0.002069536	0.006549118	0.001530023	0.003060967	0.00061074
f_Caulobacteraceae	30	Genetic 1	3.107453418	0.018711927	0.005173562	0.000471788	-2.285371703	-3.317144021	Caulobacteraceae	0	0.000119278	0	0	0	0	0.00035251	2.14E-05	0.000206954	2.14E-03	1.63E-05	0.000432137	0.002355713
o_Chthoniobacterales	31	Genetic 1	3.089853246	0.001108855	0.003068091	0	-2.511718545	-5	Chthoniobacterales	0	0	0	0	0	0	0	3.21E-05	0.000206954	0.001133501	1.63E-05	0.000414131	0.001265105
f_Flavobacteriaceae	32	Genetic 1	3.073709653	0.045500264	0.013980675	0.003056917	-1.854161332	-2.513297977	Flavobacteriaceae	0.0003637	0.00071567	0.000280741	7.29E-05	0.000450975	6.84E-05	0.001104531	0.000160291	0.002069536	0.006549118	0.001530023	0.003060967	0.00061074
g_Shewanella	33	Genetic 1	3.07032098	0.045500264	0.002623741	0.001042644	-2.579426935	-2.977718481	Shewanella	0.000189124	0.000178918	0.000467902	2.92E-05	7.28E-05	3.42E-05	7.05E-05	0.000149605	0.000206954	0.001133501	0.000488305	5.58E-04	8.72E-05
f_Shewanellaceae	34	Genetic 1	3.067693997	0.045500264	0.002623741	0.001042644	-2.579426935	-2.977718481	Shewanellaceae	0.000189124	0.000178918	0.000467902	2.92E-05	7.28E-05	3.42E-05	7.05E-05	0.000149605	0.000206954	0.001133501	0.000488305	5.58E-04	8.72E-05
g_Loktanella	35	Genetic 1	3.064408396	0.031183046	0.003252037	0.0001854	-2.486511117	-3.709075441	Loktanella	3.64E-05	3.98E-05	0	1.46E-05	4.76E-05	0	4.70E-05	0	0.000620861	0.001133501	9.60E-04	0.000450142	8.72E-05
o_Aeromonadales	36	Genetic 1	3.049815629	0.032124571	0.008463931	0.00351904	-2.071915077	-2.452343419	Aeromonadales	0.000494632	0.000288256	0.001122965	0.000626804	0.00059103	0.000136846	0.000258507	0.001218209	0.001448675	0.001511335	0.000260429	0.000666211	0.003359072
g_Marivita	37	Genetic 1	3.039546552	0.032124571	0.013491339	0.000629887	-1.869623158	-3.193896713	Marivita	2.91E-05	0.000119278	0	2.92E-05	7.84E-05	6.84E-05	0.000305509	6.41E-05	0.000827815	0.001259446	8.14E-05	0.000396125	0.010862453
f_Flammeovirgaceae	38	Genetic 1	3.036174386	0.032124571	0.010998938	0.003058731	-1.958254574	-2.513041179	Flammeovirgaceae	0.000203672	0.000377715	0.000655063	7.29E-05	0.00074509	0.000205269	0.000799022	9.62E-05	0.003932119	0.003274559	0.001139379	0.001422449	0.001134232
g_Congregibacter	39	Genetic 1	3.025625794	0.045500264	0.013953782	0.003190702	-1.85499694	-2.494754759	Congregibacter	0.000341878	0.000556632	0.000655063	0.000204076	0.000871139	6.84E-05	0.000493514	0.00010686	0.001034768	0.007808564	0.001139379	0.003078973	0.000785238
o_Kiloniellales	40	Genetic 1	3.015420635	0.032124571	0.003240118	0.000404251	-2.488100871	-3.382736435	Kiloniellales	2.18E-05	4.97E-05	0	7.29E-05	0.000131651	3.42E-05	9.40E-05	1.07E-05	0.000206954	0.00138539	0.000260429	0.000504159	0.000872486
g_Propionibacterium	41	Genetic 1	2.958985931	0.010634453	0.002377228	0.000280741	-2.6221061	-3.53649372	Propionibacterium	0	0	0.000280741	0	0	0	0	0.000170977	0.000413907	0.000125945	1.63E-05	3.60E-05	0.001614099
g_Ruegeria	42	Genetic 1	2.914880103	0.031183046	0.005469651	0.000395805	-2.261247101	-3.391682606	Ruegeria	5.82E-05	7.95E-05	0	2.92E-05	6.44E-05	0	0.000164505	0	0.000620861	0.002644836	0.000472028	0.000990313	0.000741613
f_Chthoniobacteraceae	43	Genetic 1	2.855945031	0.001108855	0.003068091	0	-2.511718545	-5	Chthoniobacteraceae	0	0	0	0	0	0	0	3.21E-05	0.000206954	0.001133501	1.63E-05	0.000414131	0.001265105
g_Candidatus Xiphinematobacter	44	Genetic 1	2.815466845	0.001108855	0.003068091	0	-2.511718545	-5	Candidatus Xiphinematobacter	0	0	0	0	0	0	0	3.21E-05	0.000206954	0.001133501	1.63E-05	0.000414131	0.001265105
f_Phormidiaceae	45	Genetic 2	4.649032466	0.004274734	0.037919929	0.688996014	-1.42101797	-0.161776987	Phormidiaceae	0.172364631	0.030952736	0.11650758	0.047389289	0.13971272	0.024050633	0.158018425	6.41E-05	0.002483444	0.004282116	0.004883051	0.025640102	0.000567116
o_Oscillatoriales	46	Genetic 2	4.64892494	0.004274734	0.037919929	0.688996014	-1.42101797	-0.161776987	Oscillatoriales	0.172364631	0.030952736	0.11650758	0.047389289	0.13971272	0.024050633	0.158018425	6.41E-05	0.002483444	0.004282116	0.004883051	0.025640102	0.000567116
s_Arthrospira platensis	47	Genetic 2	4.593951565	0.009718857	0.001057396	0.013713548	-2.971674459	-1.862533583	Arthrospira platensis	0.003506067	0.000616272	0.001778027	0.000932917	0.002918735	0.00071844	0.003243091	0	0.000206954	0	0.000130215	0.000720228	0
s_Lyngbya hieronymusii	48	Genetic 2	4.274813979	0.009120734	0.000282904	0.003621444	-3.533273991	-2.439920626	Lyngbya hieronymusii	0.000901976	0.000109339	0.000748643	0.000218653	0.000683466	0.000136846	0.000822523	0	0	0	4.88E-05	0.000234074	0
o_Rhodophyta	49	Genetic 2	3.569948004	0.014605086	0.000233034	0.001703264	-3.614332965	-2.766175711	Rhodophyta	5.09E-05	4.97E-05	0.000187161	0.000524766	0.000358539	0.000273691	0.000258507	0	0	0	8.14E-05	0.000108034	4.36E-05
g_Phormidium	50	Genetic 2	3.288811787	0.006346443	0.000941798	0.007182519	-3.021455212	-2.143118982	Phormidium	0.00065466	0.000198797	0.002807412	0.000772572	0.001246485	0.000821074	0.000681519	0	0	0	0.000130215	0.000288091	0.000523492
g_Lyngbya	51	Genetic 2	3.239001468	0.009120734	0.000282874	0.003621446	-3.533319181	-2.439920409	Lyngbya	0.000901976	0.000109339	0.000748643	0.000218653	0.000683466	0.000136846	0.000822523	0	0	0	4.88E-05	0.000234074	0
g_Hydrocoleum	52	Genetic 2	3.19639983	0.031183046	0.001631653	0.013259976	-2.784718635	-1.877129863	Hydrocoleum	0.000458262	0.000119278	0.002152349	0.006136847	0.002296893	0.000615806	0.001480541	0	0	0.000881612	0.000227876	0.000522165	0
g_Planktothricoides	53	Genetic 2	3.159482245	0.018711927	0.000196357	0.003433905	-3.685380794	-2.462948837	Planktothricoides	0.000843784	6.96E-05	0.000467902	0.000335267	0.00056582	0.001151532	0	0	0	1.63E-05	0.000180057	0	
g_Arthrospira	54	Genetic 2	3.142620498	0.006346443	0.001057397	0.013713549	-2.971674022	-1.862533563	Arthrospira	0.003506067	0.000616272	0.001778027	0.000932917	0.002918735	0.00071844	0.003243091	0	0.000206954	0	0.000130215	0.000720228	0
o_Nostocales	55	Genetic 2	3.108762562	0.044316963	0.0014636	0.006776635	-2.831620387	-2.168345507	Nostocales	0.00116384	0.000357835	0.003088153	0.000291537	0.000941166	0.000581594	0.00035251	0	0.000206954	0	0.000374367	0.000882279	0
f_Nostocaceae	56	Genetic 2	3.077345224	0.044316963	0.001149871	0.00564994	-2.93559031	-2.247188173	Nostocaceae	0.000792866	0.000318076	0.002807412	0.000233229	0.000658256	0.000581594	0.000258507	0	0.000206954	0	0.000276706	0.000666211	0
g_Cylindrospermopsis	57	Genetic 2	3.031075228	0.044316963	0.001149871	0.00564994	-2.93559031	-2.247188173	Cylindrospermopsis	0.000792866	0.000318076	0.002807412	0.000233229	0.000658256	0.000581594	0.000258507	0	0.000206954	0	0.000276706	0.000666211	0
