sample	group	variable	value	order
HA1	Gen 2	c_Spartobacteria	-5	12
HA1	Gen 2	g_Brevibacterium	-5	2
HA1	Gen 2	g_Candidatus Xiphinematobacter	-5	1
HA1	Gen 2	g_Corynebacterium	-5	9
HA1	Gen 2	o_Aeromonadales	-3.212271097	4
HA1	Gen 2	o_Chthoniobacterales	-5	7
HA1	Gen 2	o_Clostridiales	-5	6
HA1	Gen 2	p_Synergistetes	-2.5190027	11
HA1	Gen 2	f_Brevibacteriaceae	-5	8
HA1	Gen 2	f_Chthoniobacteraceae	-5	3
HA1	Gen 2	f_Corynebacteriaceae	-5	10
HA1	Gen 2	f_Aeromonadaceae	-5	5
HA1	Gen 2	c_Oscillatoriophycideae	-1.194036101	16
HA1	Gen 2	c_Synergistia	-2.519002644	31
HA1	Gen 2	g_Arthrospira	-2.615554109	23
HA1	Gen 2	g_Desulfovibrio	-2.042839016	22
HA1	Gen 2	g_Hydrocoleum	-2.91479579	26
HA1	Gen 2	g_Lyngbya	-3.384836175	25
HA1	Gen 2	g_Phormidium	-2.993263624	27
HA1	Gen 2	g_Planktothricoides	-5	19
HA1	Gen 2	g_Trichodesmium	-3.089106245	20
HA1	Gen 2	o_Desulfovibrionales	-2.042839016	21
HA1	Gen 2	o_Oscillatoriales	-1.261882833	15
HA1	Gen 2	o_Synergistales	-2.519002644	28
HA1	Gen 2	p_Verrucomicrobia	-5	29
HA1	Gen 2	s_Arthrospira platensis	-2.615554165	13
HA1	Gen 2	s_Lyngbya hieronymusii	-3.384836581	17
HA1	Gen 2	s_Propionibacterium acnes	-3.212271152	18
HA1	Gen 2	f_Desulfovibrionaceae	-2.042839016	24
HA1	Gen 2	f_Thermovirgaceae	-2.519002644	30
HA1	Gen 2	f_Phormidiaceae	-1.261882833	14
HA2	Gen 2	c_Spartobacteria	-5	12
HA2	Gen 2	g_Brevibacterium	-3.658106691	2
HA2	Gen 2	g_Candidatus Xiphinematobacter	-5	1
HA2	Gen 2	g_Corynebacterium	-5	9
HA2	Gen 2	o_Aeromonadales	-3.488655498	4
HA2	Gen 2	o_Chthoniobacterales	-5	7
HA2	Gen 2	o_Clostridiales	-2.862248811	6
HA2	Gen 2	p_Synergistetes	-3.272191369	11
HA2	Gen 2	f_Brevibacteriaceae	-3.658106691	8
HA2	Gen 2	f_Chthoniobacteraceae	-5	3
HA2	Gen 2	f_Corynebacteriaceae	-5	10
HA2	Gen 2	f_Aeromonadaceae	-3.658106691	5
HA2	Gen 2	c_Oscillatoriophycideae	-1.397194477	16
HA2	Gen 2	c_Synergistia	-3.272191254	31
HA2	Gen 2	g_Arthrospira	-2.862248811	23
HA2	Gen 2	g_Desulfovibrio	-2.698438319	22
HA2	Gen 2	g_Hydrocoleum	-3.367074246	26
HA2	Gen 2	g_Lyngbya	-3.488655498	25
HA2	Gen 2	g_Phormidium	-3.367074246	27
HA2	Gen 2	g_Planktothricoides	-3.488655498	19
HA2	Gen 2	g_Trichodesmium	-3.272191254	20
HA2	Gen 2	o_Desulfovibrionales	-2.698438319	21
HA2	Gen 2	o_Oscillatoriales	-1.416959926	15
HA2	Gen 2	o_Synergistales	-3.272191254	28
HA2	Gen 2	p_Verrucomicrobia	-3.939809365	29
HA2	Gen 2	s_Arthrospira platensis	-2.8622488	13
HA2	Gen 2	s_Lyngbya hieronymusii	-3.488655076	17
HA2	Gen 2	s_Propionibacterium acnes	-3.128391807	18
HA2	Gen 2	f_Desulfovibrionaceae	-2.698438319	24
HA2	Gen 2	f_Thermovirgaceae	-3.272191254	30
HA2	Gen 2	f_Phormidiaceae	-1.416959926	14
HA5	Gen 2	c_Spartobacteria	-5	12
HA5	Gen 2	g_Brevibacterium	-5	2
HA5	Gen 2	g_Candidatus Xiphinematobacter	-5	1
HA5	Gen 2	g_Corynebacterium	-5	9
HA5	Gen 2	o_Aeromonadales	-2.861259438	4
HA5	Gen 2	o_Chthoniobacterales	-5	7
HA5	Gen 2	o_Clostridiales	-3.225049686	6
HA5	Gen 2	p_Synergistetes	-5	11
HA5	Gen 2	f_Brevibacteriaceae	-5	8
HA5	Gen 2	f_Chthoniobacteraceae	-5	3
HA5	Gen 2	f_Corynebacteriaceae	-5	10
HA5	Gen 2	f_Aeromonadaceae	-5	5
HA5	Gen 2	c_Oscillatoriophycideae	-0.908772074	16
HA5	Gen 2	c_Synergistia	-5	31
HA5	Gen 2	g_Arthrospira	-2.593872851	23
HA5	Gen 2	g_Desulfovibrio	-3.101937184	22
HA5	Gen 2	g_Hydrocoleum	-2.041593189	26
HA5	Gen 2	g_Lyngbya	-2.965135012	25
HA5	Gen 2	g_Phormidium	-2.707305203	27
HA5	Gen 2	g_Planktothricoides	-3.518848432	19
HA5	Gen 2	g_Trichodesmium	-1.767262105	20
HA5	Gen 2	o_Desulfovibrionales	-3.101937184	21
HA5	Gen 2	o_Oscillatoriales	-0.922027589	15
HA5	Gen 2	o_Synergistales	-5	28
HA5	Gen 2	p_Verrucomicrobia	-3.22504941	29
HA5	Gen 2	s_Arthrospira platensis	-2.593872913	13
HA5	Gen 2	s_Lyngbya hieronymusii	-2.965135134	17
HA5	Gen 2	s_Propionibacterium acnes	-3.68782661	18
HA5	Gen 2	f_Desulfovibrionaceae	-3.101937184	24
HA5	Gen 2	f_Thermovirgaceae	-5	30
HA5	Gen 2	f_Phormidiaceae	-0.922027589	14
HA7	Gen 2	c_Spartobacteria	-5	12
HA7	Gen 2	g_Brevibacterium	-5	2
HA7	Gen 2	g_Candidatus Xiphinematobacter	-5	1
HA7	Gen 2	g_Corynebacterium	-5	9
HA7	Gen 2	o_Aeromonadales	-3.303118756	4
HA7	Gen 2	o_Chthoniobacterales	-5	7
HA7	Gen 2	o_Clostridiales	-2.976805587	6
HA7	Gen 2	p_Synergistetes	-4.098774494	11
HA7	Gen 2	f_Brevibacteriaceae	-5	8
HA7	Gen 2	f_Chthoniobacteraceae	-5	3
HA7	Gen 2	f_Corynebacteriaceae	-5	10
HA7	Gen 2	f_Aeromonadaceae	-3.303118756	5
HA7	Gen 2	c_Oscillatoriophycideae	-1.379502558	16
HA7	Gen 2	c_Synergistia	-4.098541679	31
HA7	Gen 2	g_Arthrospira	-3.150842962	23
