sample	group	relab_gut_species
sample1	Gen1	0
sample2	Gen1	4.23034E-05
sample3	Gen1	0.000379402
sample4	Gen1	0.000137763
sample5	Gen1	0.000462458
sample6	Gen1	8.72647E-05
sample7	Gen1	7.08749E-05
sample8	Gen1	1.72757E-05
sample9	Gen1	0.00042237
sample10	Gen1	0.001325138
sample11	Gen1	1.88261E-05
sample12	Gen1	0.001266667
sample13	Gen1	0.000335991
sample14	Gen1	9.08084E-05
sample15	Gen1	0.000147287
sample16	Gen1	0
sample17	Gen1	0.002717165
sample18	Gen1	0.000111406
sample19	Gen1	7.41971E-05
sample20	Gen1	0.017813732
sample21	Gen1	0.000108084
sample22	Gen1	5.13843E-05
sample23	Gen1	0.0118
sample24	Gen1	0.003381174
sample25	Gen2	1.06312E-05
sample26	Gen2	2.21484E-06
sample27	Gen2	2.17054E-05
sample28	Gen2	4.05316E-05
sample29	Gen2	1.06312E-05
sample30	Gen2	2.0155E-05
sample31	Gen2	3.16722E-05
sample32	Gen2	9.74529E-06
sample33	Gen2	0.000112071
sample34	Gen2	0.000217497
sample35	Gen2	0
sample36	Gen2	0.000429679
sample37	Gen2	4.54042E-05
sample38	Gen2	5.13843E-05
sample39	Gen2	3.34441E-05
sample40	Gen2	7.75194E-06
sample41	Gen2	0.0004866
sample42	Gen2	0
sample43	Gen2	0
sample44	Gen2	0.007232558
sample45	Gen2	1.79402E-05
sample46	Gen2	0
sample47	Gen2	0.000873533
sample48	Gen2	0.001539313
