sample	group	D_5__Aeromonas	D_5__Afifella	D_5__Bacillus	D_5__Bdellovibrio	D_5__Bowmanella	D_5__Clostridium	D_5__Ectothiorhodospira	D_5__Enterobacter	D_5__Enterococcus	D_5__Exiguobacterium	D_5__Glutamicibacter	D_5__Lactobacillus	D_5__Lactococcus	D_5__Marinomonas	D_5__Phaeobacter	D_5__Pseudoalteromonas	D_5__Pseudomonas	D_5__Rhodobacter	D_5__Rhodopseudomonas	D_5__Shewanella	D_5__Staphylococcus	D_5__Streptococcus	D_5__Streptomyces	D_5__Vibrio	D_5__Weissella	D_6__Bacillus_amyloliquefaciens	D_6__Bacillus_aryabhattai	D_6__Bacillus_cereus	D_6__Bacillus_endophyticus	D_6__Bacillus_firmus	D_6__Bacillus_foraminis	D_6__Bacillus_licheniformis	D_6__Bacillus_megaterium	D_6__Bacillus_pumilus	D_6__Bacillus_subtilis	D_6__Bacillus_thuringiensis	D_6__Bacillus_vireti	D_6__Enterobacter_hormaechei	D_6__Pseudoalteromonas_flavipulchra	D_6__Pseudoalteromonas_ruthenica	D_6__Rhodopseudomonas_palustris	D_6__Shewanella_algae	D_6__Staphylococcus_haemolyticus	D_6__Streptococcus_salivarius	D_6__Vibrio_alginolyticus	D_6__Vibrio_fluvialis	D_6__Vibrio_gazogenes	D_6__Vibrio_hepatarius	D_6__Vibrio_mediterranei
HL1	hep_gen1	2.59E-05	0	0.004748437	0.000103791	0	0	0	0.000181634	0	5.19E-05	0	0.000285425	0	0	0	0.00103791	0.004281377	0	0.00023353	5.19E-05	0	0.000259477	2.59E-05	0.28363476	0	2.59E-05	2.59E-05	0	0	0	0	0	2.59E-05	0	7.78E-05	0	0	0	0	0	2.59E-05	0	0	0	0.00080438	0	0	0	0.000103791
HL2	hep_gen1	0.000806452	0	0.005791789	7.33E-05	0	0.000513196	0	0.000513196	0	0	0	0	0	0	3.67E-05	0.036840176	0.001136364	0	0.000183284	0.001392962	0.000256598	7.33E-05	7.33E-05	0.201942815	0	0	0	3.67E-05	0	0	0	3.67E-05	0	3.67E-05	0.00022	0	7.33E-05	0	3.67E-05	3.67E-05	0	0.00011	0	0	0.001209677	7.33E-05	0	7.33E-05	0.000219941
HL4	hep_gen1	0.000127508	0	0.003458663	1.59E-05	0	0.000159385	0	0.000940374	1.59E-05	0	0	0	1.59E-05	3.19E-05	0	0.002167642	0.000589726	3.19E-05	3.19E-05	0.000191262	7.97E-05	0.00011157	3.19E-05	0.606	0	0	0	1.59E-05	0	6.38E-05	0	1.59E-05	0	6.38E-05	6.38E-05	0	4.78E-05	0	4.78E-05	0	0	1.59E-05	0	0	0.00233	0.000159385	0	0.026537671	0.000430341
HL5	hep_gen1	0.001333514	0	0.003299882	9.04E-05	0	9.04E-05	0	0.000158214	0	0	0	2.26E-05	2.26E-05	2.26E-05	0	0.002147184	0.000406835	0	4.52E-05	0.002983455	0.000226019	0	2.26E-05	0.247	0	0	0	2.26E-05	0	6.78E-05	0	0	0	2.26E-05	2.26E-05	0	2.26E-05	0	0	0	0	0.00011301	0	0	0.000542446	4.52E-05	0	0	0.000158214
HL7	hep_gen1	0.001288919	0	0.009586337	0.000281951	0	0.000161	0	0.000684738	0	0	0	0	0	0	0	0.00947	0.004027873	0	4.03E-05	0.003786201	0.000684738	0.000120836	0	0.274821767	4.03E-05	0	0	0.001409756	0	4.03E-05	0	8.06E-05	0	8.06E-05	0.000121	0.00121	4.03E-05	0	4.03E-05	0	0	8.06E-05	0	0	0.000886	8.06E-05	0	0	0.000120836
HA1	hep_gen2	0.000646914	0	0.008151119	0.00271704	0	0	0	0	0	0	0	0.000129383	0	0	0.000129383	0.004787165	0.023159529	0	0.000388149	0.000776297	0.001293828	0.001164446	0	0.034674602	0.000129383	0	0	0	0	0	0	0	0	0	0.000258766	0	0	0	0	0	0.000129383	0.000258766	0	0.00090568	0.000258766	0	0	0	0.000258766
HA2	hep_gen2	0.000625167	0	0.003393766	0.000357239	0	0.000357	0	0.000357239	0	0.000178619	0	0.000357239	0	0	0	0.005	0.004554791	0	0.000178619	0.000357239	0.000982406	0.000267929	0	0.512369385	0	0	0	0	0	0.000446548	8.93E-05	0	0	0	0	0	0	0	8.93E-05	0	8.93E-05	0.000179	0	0	0.001339645	0	0	0.000357239	8.93E-05
HA5	hep_gen2	8.27E-05	0	0.00430072	0	0	0.000165412	0	0.000165412	0	0.000248118	0	0.000248118	8.27E-05	0	0	0.045157555	0.005127781	0	8.27E-05	0.000330825	0	0	0	0.141841039	0	0	8.27E-05	0	0	0.000165412	0	8.27E-05	0	0	0	0	0.000165412	0	0	8.27E-05	0	8.27E-05	0	0	0.000331	8.27E-05	0	8.27E-05	0.000165412
HA7	hep_gen2	2.91E-05	0	0.005355376	0.000145527	0	0	0	8.73E-05	0	0	0	2.91E-05	0	0	0	0.000844054	0.001193317	0	0.000145527	0.000145527	0.000203737	0	0	0.283398335	0	0	0	0	2.91E-05	0	0	0	0	2.91E-05	0	0	0	0	2.91E-05	0	0	0	0	0	0.000727633	2.91E-05	0	0	5.82E-05
HA8	hep_gen2	2.91E-05	0	0.002443707	2.91E-05	0	2.91E-05	0	0.000320009	0	2.91E-05	0	5.82E-05	8.73E-05	0	0	0.00145	0.001221854	0	8.73E-05	0.000116	5.82E-05	0.00032	5.82E-05	0.350264735	0	0	0	0	0	0	0	2.91E-05	0	0	0	0	5.82E-05	0	0	0	2.91E-05	2.91E-05	0	0	0.00105	0	0	0	0.000116367
