group	hep_gen1_log10	hep_gen2_log10	order
D_5__Aeromonas	-3.14474828730993	-3.54868002925411	2
D_5__Afifella	-7	-7	3
D_5__Bacillus	-2.26945014213328	-2.3252272329485	4
D_5__Bdellovibrio	-3.94627482422093	-3.18716602628013	5
D_5__Bowmanella	-7	-7.00E+00	6
D_5__Clostridium	-3.73306849113137	-3.96E+00	7
D_5__Ectothiorhodospira	-7	-7.00E+00	8
D_5__Enterobacter	-3.3047537468979	-3.73027229656582	9
D_5__Enterococcus	-5.48412615628832	-7	10
D_5__Exiguobacterium	-4.97963871735229	-4.03968432135258	11
D_5__Glutamicibacter	-7	-7	12
D_5__Lactobacillus	-4.2096796433504	-3.78381297752328	1.30E+01
D_5__Lactococcus	-5.10790539730952	-4.4672456210075	14
D_5__Marinomonas	-4.95860731484177	-7	15
D_5__Phaeobacter	-5.1289293618788	-4.58541769305776	16
D_5__Pseudoalteromonas	-1.9858247407695	-1.94123091214062	17
D_5__Pseudomonas	-2.68015824236223	-2.1517151393301	18
D_5__Rhodobacter	-5.18842499412941	-7	19
D_5__Rhodopseudomonas	-3.97084844929281	-3.75E+00	20
D_5__Shewanella	-2.77436615275776	-3.46173928211084	21
D_5__Staphylococcus	-3.60291030321096	-3.29436358236841	22
D_5__Streptococcus	-3.94639687688981	-3.45521682744747	2.30E+01
D_5__Streptomyces	-4.51088563062108	-4.93033190308841	24
D_5__Vibrio	-0.491150106292468	-0.577558365529064	25
D_5__Weissella	-5.08830984124614	-4.58541769305776	26
D_6__Bacillus_amyloliquefaciens	-5.27736607746619	-7	28
D_6__Bacillus_aryabhattai	-5.27736607746619	-4.7788466780453	29
D_6__Bacillus_cereus	-3.5271102120403	-7	30
D_6__Bacillus_endophyticus	-7	-5.22767829327708	31
D_6__Bacillus_firmus	-4.46243274284733	-3.91189227431421	32
D_6__Bacillus_foraminis	-7	-4.74569366766871	33
D_6__Bacillus_licheniformis	-4.57283859707403	-4.64859024807456	34
D_6__Bacillus_megaterium	-5.27736607746619	-7	35
D_6__Bacillus_pumilus	-4.38891426658513	-5.22767829327708	36
D_6__Bacillus_subtilis	-3.99530641049959	-4.28522443697101	37
D_6__Bacillus_thuringiensis	-3.61600521055827	-7	38
D_6__Bacillus_vireti	-4.43297363384094	-4.34850489302963	39
D_6__Enterobacter_hormaechei	-7	-7	40
D_6__Pseudoalteromonas_flavipulchra	-4.60101893334187	-4.62378814971733	41
D_6__Pseudoalteromonas_ruthenica	-5.12842706445412	-4.7788466780453	42
D_6__Rhodopseudomonas_palustris	-5.27736607746619	-4.30402302001683	43
D_6__Shewanella_algae	-4.19384581301653	-3.95885611839105	44
D_6__Staphylococcus_haemolyticus	-7	-7	45
D_6__Streptococcus_salivarius	-7	-3.74175553155739	46
D_6__Vibrio_alginolyticus	-2.93778199798819	-3.13022024138527	47
D_6__Vibrio_fluvialis	-4.1438937021458	-4.64859024807456	48
D_6__Vibrio_gazogenes	-7	-7	49
D_6__Vibrio_hepatarius	-2.27390112266228	-4.0550842364185	50
D_6__Vibrio_mediterranei	-3.68460783973189	-3.8610376754104	51

