sample	group	Bacillus amyloliquefaciens	Bacillus aryabhattai	Bacillus cereus	Bacillus endophyticus	Bacillus firmus	Bacillus foraminis	Bacillus licheniformis	Bacillus megaterium	Bacillus pumilus	Bacillus subtilis	Bacillus thuringiensis	Bacillus vireti	Enterobacter hormaechei	Pseudoalteromonas flavipulchra	Pseudoalteromonas ruthenica	Rhodopseudomonas palustris	Shewanella algae	Staphylococcus haemolyticus	Streptococcus salivarius	Vibrio alginolyticus	Vibrio fluvialis	Vibrio gazogenes	Vibrio hepatarius	Vibrio mediterranei
IL1	Genetic 1	0	0	0	0	0	0	0	0	0	1E-05	0	1E-05	2E-05	2E-05	1E-05	0	7E-05	0	0	0.00272	2E-05	2E-05	0.000289907	0.00046985
IL2	Genetic 1	0	0	0.000166113	0	0.000166113	0	0	0	0.000166113	0.000166113	0	0.000166113	0	0	0	0	0	0	0	0.002159468	0	0	0.000166113	0.000664452
IL3	Genetic 1	0	0	0.000179244	0	0.000268865	8.96E-05	0	0	8.96E-05	0.000627	0	0.000716974	0	0	0	0	0.000448109	0	0	0.001254705	0	0	0.000716974	0
IL4	Genetic 1	0	0	0	0	1.44E-05	0	1.44E-05	0	1.44E-05	0	0	0	0	0	1.44E-05	0	0.000402536	0	0	0.000100634	0	0	4.31E-05	1.44E-05
IL6	Genetic 1	0	0	1.58E-05	0	0	0	0	1.58E-05	1.58E-05	0.000379	1.58E-05	0.000237124	0	0	0	0	0.000474248	0	0	0.001106579	0	0	0.000395207	0.000173891
IL8	Genetic 1	0	3.7E-05	0	0	7.4E-05	0	3.7E-05	0	0	0	0	0	3.7E-05	0	3.7E-05	0	7.4E-05	0.000111	7.4E-05	0.000148	0	0	0.000814	0.000184891
IA2	Genetic 2	0	0	0	0	7.09E-06	0	0	7.09E-06	7.09E-06	1.42E-05	0	2.13E-05	7.09E-06	3.55E-05	0	0	0.000163	0	0	0.002907142	0	0	0.000106359	0.000687787
IA3	Genetic 2	9.47E-06	0	1.89E-05	0	1.89E-05	0	0	0	9.47E-06	9.47E-05	0	4.74E-05	0	9.47E-06	0	9.47E-06	0.000161	0	0	0.002311394	0	0	0	0.000539957
IA4	Genetic 2	0	0	0	0	0	0	0	0	0	0	0	0.000263783	0	0	0	0	8.79E-05	0	0	0.000176	0	0	0.000175855	0
IA5	Genetic 2	0	0	0	0	0	0	1.4E-05	0	1.4E-05	0	0	1.4E-05	0	0	0	0	1.4E-05	0	0	0.000126	1.4E-05	0	0.000140227	9.82E-05
IA7	Genetic 2	0	2.68E-06	0	0	5.35E-06	0	0	2.68E-06	2.68E-06	1.07E-05	0	2.14E-05	1.61E-05	5.35E-06	0	0	5.89E-05	0	0	0.000613	2.68E-06	0	0.000436113	8.56E-05
IA8	Genetic 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37E-05	0	0	0	0	0.0008774	0	0	0	0.000101238
IA9	Genetic 2	0	0	0	0	2.17E-05	2.17E-05	2.17E-05	0	8.67E-05	0.000108	0	4.34E-05	2.17E-05	0	0	0	0	0	0	0.000260106	0	0	0	4.34E-05
7A	i-sano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070373	0	0	0.000603197	0
68-BI	i-sano	0	0	0	0	1.52E-05	3.81E-06	3.81E-06	0	0	0	0	3.81E-06	0	0	0	0	0	0	0	0.000483472	0	0	0.001309563	0.000110399
139-I	i-sano	0	0	8.99E-05	0	0	0	0.000449398	0	0	0.000808916	0	0	0	0	0	0	0	0	0	0.004673737	0	0	0.004763617	0.000449398
2-BI	i-enfermo	0	0	0	0	1.36E-05	6.82E-06	0	0	0	0	0	1.36E-05	0	0	0	0	0	0	0	0.001084022	0	0	0.000224986	0.00021135
27-BI	i-enfermo	0	0	0	0	0	0	0	0	0	0	0	2.1E-05	0	0	0	0	0	0	2.1E-05	4.2E-05	0	0	0	2.1E-05
49-BI	i-enfermo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001189414	0	0	0.000148677	0

