SampleID	group	PD_whole_tree	chao1	goods_coverage	observed_otus	shannon	simpson
HA1	Genetic2	16.627	267.123	0.991	229.2	6.407	0.981
HA2	Genetic2	18.447	287.615	0.988	242.1	4.791	0.847
HA5	Genetic2	19.006	290.461	0.989	242.4	5.319	0.929
HA7	Genetic2	14.413	220.84	0.989	170.7	4.088	0.848
HA8	Genetic2	14.201	213.902	0.988	161.7	3.467	0.783
HL1	Genetic1	11.507	175.074	0.993	142.5	4.339	0.874
HL2	Genetic1	22.557	370.68	0.988	330.9	6.63	0.973
HL4	Genetic1	16.996	298.079	0.986	236.5	4.974	0.907
HL5	Genetic1	18.421	306.087	0.985	233.2	4.325	0.861
HL7	Genetic1	18.951	310.087	0.986	249.9	4.934	0.899

