SampleID	group	PD_whole_tree	chao1	goods_coverage	observed_otus	shannon	simpson
HA1	Hepatopancreas	16.652	268.574	0.991	229.737	6.408	0.981
HA2	Hepatopancreas	18.383	285.586	0.988	241.332	4.792	0.847
HA5	Hepatopancreas	19.119	297.397	0.988	245.219	5.323	0.929
HA7	Hepatopancreas	14.607	228.192	0.989	170.831	4.081	0.846
HA8	Hepatopancreas	14.372	217.494	0.988	162.311	3.451	0.781
HE1	Hepatopancreas	14.277	262.083	0.986	187.695	4.203	0.861
HE2	Hepatopancreas	15.288	268.927	0.985	188.814	4.106	0.865
HE4	Hepatopancreas	15.313	260.164	0.987	197.925	4.43	0.888
HE5	Hepatopancreas	18.699	309.861	0.987	259.677	5.69	0.951
HE7	Hepatopancreas	17.047	291.943	0.985	232.551	4.922	0.92
HE8	Hepatopancreas	10.147	163.408	0.992	126.287	3.677	0.864
HL1	Hepatopancreas	11.425	175.232	0.993	142.612	4.34	0.875
HL2	Hepatopancreas	22.372	363.132	0.989	329.003	6.626	0.973
HL4	Hepatopancreas	16.857	295.761	0.986	235.782	4.98	0.908
HL5	Hepatopancreas	18.353	296.672	0.985	231.654	4.331	0.862
HL7	Hepatopancreas	18.648	302.679	0.987	246.009	4.929	0.9
IA2	Gut	12.813	251.194	0.986	179.849	3.819	0.82
IA3	Gut	14.539	273	0.984	181.607	3.847	0.842
IA4	Gut	15.662	274.824	0.985	199.606	4.062	0.866
IA5	Gut	11.159	214.627	0.988	142.815	3.492	0.805
IA7	Gut	14.81	275.746	0.984	193.365	4.119	0.882
IA8	Gut	11.304	216.58	0.988	141.628	3.688	0.843
IA9	Gut	17.626	289.279	0.984	212.314	3.979	0.864
IE2	Gut	17.178	310.848	0.984	245.457	5.185	0.928
IE3	Gut	18.221	312.728	0.986	259.152	4.986	0.899
IE5	Gut	18.365	323.705	0.986	276.252	5.792	0.958
IE7	Gut	13.832	267.891	0.985	189.514	4.349	0.888
IE8	Gut	11.714	233.982	0.987	153.028	3.487	0.807
IE9	Gut	8.71	180.971	0.991	122.385	4.055	0.895
IL1	Gut	10.615	204.392	0.989	139.461	3.742	0.826
IL2	Gut	20.309	334.667	0.986	287	5.954	0.954
IL3	Gut	22.04	345.708	0.989	305.839	6.777	0.982
IL4	Gut	15.449	261.244	0.986	194.206	3.965	0.793
IL6	Gut	20.27	346.472	0.984	286.745	5.416	0.93
IL8	Gut	15.496	256.304	0.987	196.453	4.433	0.882

