SampleID	group	PD_whole_tree	chao1	goods_coverage	observed_otus	shannon	simpson
IA2	Genetic2	12.813	251.194	0.986	179.849	3.819	0.82
IA3	Genetic2	14.539	273	0.984	181.607	3.847	0.842
IA4	Genetic2	15.662	274.824	0.985	199.606	4.062	0.866
IA5	Genetic2	11.159	214.627	0.988	142.815	3.492	0.805
IA7	Genetic2	14.81	275.746	0.984	193.365	4.119	0.882
IA8	Genetic2	11.304	216.58	0.988	141.628	3.688	0.843
IA9	Genetic2	17.626	289.279	0.984	212.314	3.979	0.864
IE2	Genetic1	17.178	310.848	0.984	245.457	5.185	0.928
IE3	Genetic1	18.221	312.728	0.986	259.152	4.986	0.899
IE5	Genetic1	18.365	323.705	0.986	276.252	5.792	0.958
IE7	Genetic1	13.832	267.891	0.985	189.514	4.349	0.888
IE8	Genetic1	11.714	233.982	0.987	153.028	3.487	0.807
IE9	Genetic1	8.71	180.971	0.991	122.385	4.055	0.895
IL1	Genetic1	10.615	204.392	0.989	139.461	3.742	0.826
IL2	Genetic1	20.309	334.667	0.986	287	5.954	0.954
IL3	Genetic1	22.04	345.708	0.989	305.839	6.777	0.982
IL4	Genetic1	15.449	261.244	0.986	194.206	3.965	0.793
IL6	Genetic1	20.27	346.472	0.984	286.745	5.416	0.93
IL8	Genetic1	15.496	256.304	0.987	196.453	4.433	0.882

